"FY","PIHP","PIHPname","CMHSP","Population","Phase","Name","Item","Desc","People","Undup"
"2011","3","LRP","Allegan","DD","Start","total_in","1","Total # of people who telephoned or walked in",56,FALSE
"2011","3","LRP","Allegan","DD","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",0,FALSE
"2011","3","LRP","Allegan","DD","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",0,FALSE
"2011","3","LRP","Allegan","DD","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",56,FALSE
"2011","3","LRP","Allegan","DD","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",8,FALSE
"2011","3","LRP","Allegan","DD","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",48,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","no_elig_deter","9","Of the # in Row 7 - How many did not receive eligibility determination (dropped out, no show, etc.) ",3,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","rfr_to_FFS","10","Of the # in Row 7 - how many were not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","rfr_to_MHP","11","Of the # in Row 7 - how many were not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","not_eligible","12","Of the # in Row 7 - how many otherwise did not meet cmhsp non-entitlement eligibility criteria",0,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","rfr_to_mh_Y","12a","     Of the # in row 12 - How many were referred out to other mental health providers",0,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","rfr_to_mh_N","12b","     Of the # in row 12 - How many were not referred out to other mental health providers",0,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","eligible","13","Of the # in Row 7 - How many people met the cmhsp eligibility criteria",45,FALSE
"2011","3","LRP","Allegan","DD","Placement","urgent_crit","14","Of the # in Row 13 - How many met emergency/urgent conditions criteria",0,FALSE
"2011","3","LRP","Allegan","DD","Placement","immed_crit","15","Of the # in Row 13 - How many met immediate admission criteria",45,FALSE
"2011","3","LRP","Allegan","DD","Waiting","waiting","16"," Of the # in Row 13 - How many were put on a waiting list",0,FALSE
"2011","3","LRP","Allegan","DD","Waiting","some_wait","16a","     Of the # in row 16 - How many received some cmhsp services, but wait listed for other services",0,FALSE
"2011","3","LRP","Allegan","DD","Waiting","all_wait","16b","       Of the # in row 16 - How many were wait listed for all cmhsp services",0,FALSE
"2011","3","LRP","Allegan","MIA","Start","total_in","1","Total # of people who telephoned or walked in",521,FALSE
"2011","3","LRP","Allegan","MIA","Entry","out_nonMH","3","# referred out due to non MH needs (of row 1)",0,FALSE
"2011","3","LRP","Allegan","MIA","Entry","seeking_SUD","4","# seeking substance abuse services (of row 1)",0,FALSE
"2011","3","LRP","Allegan","MIA","Entry","req_CMHsvc","5","Total # who requested services the CMHSP provides (of row1)",521,FALSE
"2011","3","LRP","Allegan","MIA","Screening","screened_out","6","Of the # in Row 5 - How many people did not meet eligibility through phone or other screen",173,FALSE
"2011","3","LRP","Allegan","MIA","Screening","assmt_sched","7","Of the # in Row 5 - How many people were scheduled for assessment",348,FALSE
